SD_CD,SD_NM,SGG_CD,SGG_NM,EMD_CD,EMD_NM,HJD_CD,USER_DROUG,Shape_Leng,POPCNT,SUPLPPCNT,SUPLPER,STNYEAR,USE1M,USE2M,USE3M,USE4M,USE5M,USE6M,USE7M,USE8M,USE9M,USE10M,USE11M,USE12M,LPCD,WATER1DVNM,WATER1_sou,WATER1NM,WATER1CD,INTAKE1NM,INTAKE1CD,FILTER1NM,FILTER1CD,RESERV1NM,RESERV1CD,LOCAL_DVNA,WSPSYS1CD,Shape_Le_1,Shape_Area
27,대구광역시,27170,서구,27170695,원대동,2717069500,,3662.270741,7863,7863,1,2020,25136,101860,24035,105008,20571,113230,23358,117175,24340,121846,25302,112428,283,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,3662.270741,605469.6797
27,대구광역시,27200,남구,27200571,대명2동,2720057100,,4788.827112,10805,10805,1,2020,118302,102964,100012,96377,91982,97511,101747,110124,108498,107944,106759,103423,315,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,4788.827112,860109.5853
27,대구광역시,27200,남구,27200586,대명3동,2720058600,,5148.916946,11062,11062,1,2020,118510,100905,97688,95529,92874,101210,106931,112851,113130,114205,115113,106804,315,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,5148.916946,991526.0767
27,대구광역시,27200,남구,27200590,대명4동,2720059000,,4501.987524,11254,11254,1,2020,109341,100309,95509,93870,92449,98465,102289,110421,113380,113112,109402,105275,302,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,4501.987524,730816.0248
26,부산광역시,26470,연제구,26470700,연산6동,2647070000,,8333.6303,17200,17200,1,2020,101171,96927,95141,92951,100752,97299,108715,105750,115701,101043,108752,94161,194,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,연산배수지,2015006460,지방,2600rs03,8333.6303,1361699.748
26,부산광역시,26470,연제구,26470720,연산8동,2647072000,,4557.876882,14549,14549,1,2020,63863,129466,60675,130763,61582,138892,68882,148728,68855,143522,67558,135731,229,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,,990001,지방,2600rs03,4557.876882,748961.6684
26,부산광역시,26410,금정구,26410690,구서2동,2641069000,,10234.30486,33992,33992,1,2020,206897,297252,193107,292224,201380,301414,213166,322291,213310,311282,205204,299976,246,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,오륜배수지,2015007622,지방,2600rs03,10234.30486,3616638.649
26,부산광역시,26410,금정구,26410700,금성동,2641070000,,16409.43555,1094,1094,1,2020,0,6862,10,7043,0,6490,10,7790,0,7162,0,7284,107,댐(K-water),다목적댐,안동댐,2001110,물금취수장,2015006454,화명정수장,2015006457,산성마을배수지,2017900028,지방,2600rs03,16409.43555,8490367.594
26,부산광역시,26410,금정구,26410530,서3동,2641053000,,5338.285374,11561,11561,1,2020,149128,26409,138184,26605,150637,27137,159407,27902,167949,24858,162144,24459,256,저수지(지자체),저수지(지자체),회동댐,262601,회동취수장,2017900049,명장정수장,2015006456,서동배수지,2017900031,지방,2600rs02,5338.285374,921873.3115
27,대구광역시,27200,남구,27200515,이천동,2720051500,,4809.894128,12358,12358,1,2020,97952,89876,90276,89686,90399,92946,95122,99321,99050,98493,98050,93419,251,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,4809.894128,1082726.091
27,대구광역시,27200,남구,27200530,봉덕1동,2720053000,,4183.137977,9285,9285,1,2020,81470,74881,73870,73800,73150,80134,81548,84263,84372,85342,84538,80251,282,댐(K-water),다목적댐,안동댐,2001110,매곡취수장,2015006579,매곡정수장,2015006582,매곡배수지,2015006585,지방,2700rs01,4183.137977,526556.9244
